loan_age,pd_marginal,pd_lifetime_acum,n_obs
0,0.0028836266,0.002883613,368433
1,0.003603173,0.0064764023,392409
2,0.0045176805,0.010964811,397707
3,0.0049669044,0.015877247,393850
4,0.0050748573,0.02087152,389058
5,0.0055420883,0.026297927,382312
6,0.006263956,0.03239715,375474
7,0.0065908115,0.03877443,367469
8,0.007156835,0.04565376,359619
9,0.0074404017,0.05275446,351635
10,0.0073424783,0.05970955,343675
11,0.007435298,0.066700935,335289
12,0.007461817,0.07366508,325967
13,0.0075675957,0.080675185,317207
14,0.00800681,0.08803606,309501
15,0.007964318,0.095299244,301754
16,0.007842051,0.102393985,293956
17,0.007715864,0.109319806,285495
18,0.007614324,0.11610174,277925
19,0.0074523827,0.12268889,269812
20,0.0074836914,0.12925446,262197
21,0.007098249,0.13543522,254349
22,0.0070740217,0.14155114,246508
23,0.0072567817,0.14778072,239833
24,0.007394431,0.15408242,231369
25,0.007504743,0.16043085,224112
26,0.007473675,0.16670549,217505
27,0.007547443,0.17299473,210695
28,0.007517908,0.1792121,204378
29,0.0075913006,0.18544292,197298
30,0.0074151927,0.19148302,191065
31,0.0073022987,0.19738704,184234
32,0.007342002,0.2032798,177513
33,0.0071411775,0.2089693,171126
34,0.0073020686,0.21474546,164826
35,0.0070371805,0.22027141,158131
36,0.0068083014,0.22558004,151510
37,0.007109045,0.23108542,145236
38,0.007023034,0.23648554,138939
39,0.00709591,0.24190336,136407
40,0.0069212313,0.2471503,133919
41,0.007006438,0.25242513,131613
42,0.006730146,0.25745642,129358
43,0.006516908,0.26229554,127164
44,0.0065689767,0.26714152,124908
45,0.006141596,0.27164245,122847
46,0.0055942633,0.27571708,120793
47,0.005558578,0.27974302,118653
48,0.005265514,0.28353554,116623
49,0.0051069153,0.2871945,114581
50,0.0048336806,0.29064,112470
51,0.0045134397,0.29384166,107383
52,0.0038684264,0.29657334,102420
53,0.0039844248,0.29937613,97292
54,0.0035477874,0.30186182,92391
55,0.0036358645,0.30440015,87975
56,0.0035679722,0.30688202,83839
57,0.0035862324,0.30936772,79394
58,0.0036303278,0.31187493,75863
59,0.0034581865,0.31425458,72701
60,0.0034492728,0.31661987,69011
61,0.003395711,0.31894046,66423
62,0.0034462498,0.32128757,64186
63,0.0033779477,0.32358027,61840
64,0.0035939356,0.32601124,59559
65,0.0035571535,0.32840872,57152
66,0.0033905592,0.3306858,54842
67,0.0033195994,0.33290768,52844
68,0.0030534153,0.3349446,51076
69,0.0030097421,0.33694625,49419
70,0.0028663687,0.3388468,47878
71,0.0028295824,0.3407176,46568
72,0.002650408,0.34246498,45081
73,0.0025910707,0.34416872,43923
74,0.00265111,0.3459074,42904
75,0.0026914724,0.34766787,41928
76,0.002711782,0.34943688,40914
77,0.0025585506,0.35110134,39763
78,0.0021503333,0.35249668,38796
79,0.002081443,0.3538444,37641
80,0.0018593175,0.3550458,36585
81,0.0023507033,0.3565619,35566
82,0.002373757,0.35808927,34530
83,0.0022852917,0.3595562,33504
84,0.0020921915,0.3608961,32216
85,0.0021376912,0.3622623,31055
86,0.0021564167,0.36363757,29917
87,0.002236977,0.3650611,28750
88,0.0020064155,0.36633503,27451
89,0.0020466456,0.3676319,25856
90,0.0019797925,0.36888385,24479
91,0.001755202,0.36999154,23134
92,0.0016694525,0.37104332,21981
93,0.0015391374,0.37201136,20767
94,0.0015086175,0.37295872,19656
95,0.0013712449,0.37381858,18744
96,0.0013268564,0.3746494,17609
97,0.0010912045,0.37533176,16613
98,0.0009458688,0.37592262,15325
99,0.001055909,0.3765816,13982
100,0.0010648185,0.37724543,12487
101,0.00088384445,0.37779582,10953
102,0.0007790764,0.37828058,9550
103,0.0008070525,0.37878233,8144
104,0.00065654464,0.3791902,6936
105,0.0008809986,0.37973714,5582
106,0.0006423268,0.38013554,4395
107,0.0007420934,0.3805955,3307
108,0.0009707817,0.3811968,1860
109,0.0006266683,0.38158458,877
