loan_age,n,upb_observado,upb_teorico,desvio_rel_medio,error_abs_pct,smm,smm_mensual,cpr_anual
0,368080,273813.35932588024,274329.11866985436,-0.0017334345666096297,0.18800750954725162,0.0018800750954725161,0.0018800750954724998,0.02232906794667111
1,391646,271638.51794732996,272776.0156684852,-0.0035284861585715673,0.41700796837566373,0.004170079683756637,0.0041700796837566,0.0489090497423077
2,396640,270287.75386367994,272038.79338663525,-0.005455092869390523,0.64367272812692,0.0064367272812692,0.0032235593079404934,0.03800419979388325
3,392823,268631.088311886,270806.506780542,-0.00694269659452264,0.8033110040516673,0.008033110040516673,0.0026849056134159444,0.03174732439019612
4,387858,267140.1166952338,269632.1832680982,-0.008124315044516498,0.9242467062570696,0.009242467062570696,0.0023186686436041937,0.027471921116592135
5,380403,265195.27182908653,267895.1138872117,-0.009002230755362555,1.007798171064017,0.01007798171064017,0.0020237710803533426,0.024016755332800455
6,372722,263201.5637587532,266052.7054749055,-0.009727164920668828,1.0716454512511009,0.010716454512511008,0.0017941035472338607,0.021318066627703858
7,364708,261218.0888682453,264220.07919896673,-0.010434955457362819,1.13617040000235,0.0113617040000235,0.0016310599807608517,0.01939808735956139
8,357004,259388.50562455883,262520.7415748473,-0.011074876581526494,1.1931384665068254,0.011931384665068254,0.0014992668406236254,0.01784358613430126
9,349197,257570.51867573315,260812.86855418197,-0.011708416973932222,1.2431709740484849,0.012431709740484848,0.0013889933328724569,0.016541173745887816
10,341135,255807.46971700355,259153.07291279608,-0.012320316158133518,1.2909756994925974,0.012909756994925973,0.001298537380978071,0.015471639721901687
11,332546,253936.7247336609,257379.79793924867,-0.012871491733097684,1.3377402706643158,0.013377402706643157,0.001223585919827186,0.014584620224874723
12,323241,252011.62879105684,255542.67647466258,-0.013454893895996451,1.381783947917544,0.01381783947917544,0.0011588442262167042,0.01381783947917592
13,314676,250173.5839534315,253772.0346767304,-0.013945782851511703,1.4179855270037254,0.014179855270037255,0.0010979621836468834,0.01309627229812016
14,307168,248762.8353794015,252451.3690399284,-0.014486861458288586,1.4610868123054201,0.014610868123054201,0.0010507802635008057,0.012536744620535
15,299611,247497.6971599507,251274.57631486823,-0.015016033653005934,1.503088458175241,0.01503088458175241,0.0010091566723687828,0.012042891440283254
16,292011,246334.26038471152,250188.42261987054,-0.015494314189132797,1.540503830992583,0.01540503830992583,0.0009698374524028663,0.011576171089573206
17,283731,244973.02992496412,248903.3871300647,-0.0159916894078814,1.5790693933171545,0.015790693933171545,0.000935838014437862,0.011172433782099866
18,276469,243803.4532162738,247822.31196747423,-0.016515221691305693,1.6216694611935873,0.016216694611935874,0.0009079000692739925,0.010840562488648064
19,268561,242341.5125065069,246414.46152628967,-0.016980677352026713,1.6528855467958121,0.016528855467958122,0.0008768248986309457,0.010471304552685745
20,260953,240971.50540139413,245109.62780515794,-0.017477795820975722,1.6882741166957687,0.016882741166957687,0.0008509816716477658,0.010164120169526725
21,253181,239465.71703650747,243652.11995704076,-0.017919647913631695,1.718188588415078,0.01718188588415078,0.0008249551264841726,0.009854668438727177
22,245472,237666.1652213287,241874.60254199637,-0.018302189216477575,1.7399252655875528,0.017399252655875528,0.0007975181164104894,0.009528350472198688
23,238467,236237.38831070965,240487.28909722695,-0.018754949787854712,1.7672039143819804,0.017672039143819804,0.0007749193350432559,0.00925950121842789
24,229969,234454.21155603582,238734.23817330453,-0.019212069948479914,1.7927996629296667,0.01792799662929667,0.0007534930700668907,0.009004539177548732
25,222921,232964.23611916328,237298.3962085795,-0.01974201156783826,1.826459916571288,0.01826459916571288,0.0007370664804691174,0.00880903009118661
26,216572,231665.35744491438,236065.1144965589,-0.020288921383827842,1.8637895993347469,0.01863789599334747,0.0007233448095198547,0.008645687814083036
27,210047,230120.3067858622,234588.5293778639,-0.02078571533930129,1.9047063400122588,0.019047063400122587,0.0007119980938413706,0.008510598281250004
28,203707,228706.73446670955,233217.5041909083,-0.021179317164711643,1.9341471558268264,0.019341471558268264,0.0006972912504251694,0.008335479279785174
29,196693,227001.07919209122,231563.1992899885,-0.021749432746790455,1.970140381496499,0.01970140381496499,0.0006859047887025627,0.008199877632744323
30,190507,225397.61915115977,230014.81939589712,-0.02232225600319549,2.0073490294511482,0.020073490294511484,0.0006756949561402825,0.008078274037653932
31,183659,223435.59571581028,228077.63143083733,-0.022865942300079652,2.0352875842779445,0.020352875842779446,0.0006630977808994576,0.007928217307076268
32,176993,221254.3430728899,225915.2523086923,-0.023412102088370558,2.0631228693818735,0.020631228693818737,0.0006512573947256017,0.007787156427740638
33,170664,219166.3770055782,223864.61086791244,-0.023948748859688725,2.098694315336141,0.020986943153361408,0.0006425298413148539,0.007683168626390291
34,164290,217080.81451920385,221826.93197775842,-0.024551583308638412,2.1395587164458636,0.021395587164458635,0.0006359092181511539,0.007604277994573749
35,157518,214927.16013230235,219762.30432542344,-0.025337747890462173,2.200169955426577,0.022001699554265768,0.0006354365027843034,0.007598644949329381
36,150922,212761.68072395012,217705.6695571381,-0.026111024471427678,2.2709508866926473,0.02270950886692647,0.0006378892791982782,0.007627872791115764
37,144684,210606.41601960134,215668.0427664494,-0.026942769992496833,2.346952604530924,0.02346952604530924,0.0006416676060836402,0.007672894649941253
38,138546,208329.58218570007,213498.85110854474,-0.027730724872074383,2.4212162716587953,0.02421216271658795,0.0006447945577447989,0.007710153423585719
39,136032,207426.63361914843,212726.1984085286,-0.02848325193139634,2.4912609866710755,0.024912609866710757,0.0006466672588759659,0.007732466729076459
40,133668,206678.7732996678,212046.1261932812,-0.029041133769942124,2.5312194992522636,0.025312194992522637,0.0006407461157676986,0.007661914510878387
41,131437,205823.43266553557,211281.86777651258,-0.029697527778581482,2.583484881320138,0.025834848813201382,0.0006381969966637868,0.007631539566736678
42,129197,205028.07600973707,210557.75489517493,-0.03031548166704246,2.6262052842417463,0.026262052842417463,0.0006334435668213789,0.007574896089922012
43,126928,204169.66239994325,209802.14222481634,-0.030972167478094316,2.684662685110972,0.02684662685110972,0.0006326737329317433,0.007565722210209014
44,124844,203298.93654448751,209007.4103462188,-0.03155164343929963,2.7312303388072436,0.027312303388072435,0.0006291705774112977,0.007523975174179909
45,122737,202395.337540432,208207.81052907128,-0.03229663298890899,2.791669041554863,0.027916690415548628,0.0006289969594334144,0.007521906130256273
46,120548,201498.37592510867,207385.9150525899,-0.03287722282117255,2.8389291172393447,0.028389291172393447,0.0006258923099615732,0.007484906666844204
47,118488,200637.4869371582,206635.83238668676,-0.033675453972223546,2.9028583185435144,0.029028583185435143,0.0006265748535216886,0.007493040944913543
48,116415,199678.6339784392,205791.56464208782,-0.03443017687301472,2.970447634372287,0.029704476343722874,0.0006280233424442727,0.007510303247543759
49,114392,198702.1417020421,204918.48554347624,-0.03522305744500012,3.033569092094063,0.03033569092094063,0.0006284828401622589,0.007515779233761233
50,112318,197697.32389652592,203993.70513205457,-0.03584310483839742,3.0865566324474134,0.030865566324474136,0.0006268422976430932,0.00749622821911089
51,107300,195115.31094315005,201493.83534878434,-0.03672449092433669,3.165617645122053,0.03165617645122053,0.0006305474968887337,0.007540384088753793
52,102398,192399.57216928067,198839.92785484323,-0.03752800509486973,3.2389650082070744,0.032389650082070745,0.0006329881134329307,0.007569468597799944
53,97235,189141.31086008126,195639.72601301377,-0.03837044260432358,3.3216235196016624,0.03321623519601662,0.000637163396984719,0.007619223095718719
54,92341,185793.2830172946,192308.09796492627,-0.03916118174021913,3.387696626701527,0.03387696626701527,0.0006380202445234184,0.0076294333815351
55,87875,182666.0178341963,189194.8642309978,-0.03991700313958748,3.450858152698105,0.03450858152698105,0.0006383064742709887,0.007632844103997116
56,83784,179757.07303805024,186366.3294821898,-0.04099669999439371,3.546379038801196,0.03546379038801196,0.0006445761888679291,0.0077075515201356914
57,79335,176736.68604890653,183395.320882406,-0.041960266446683894,3.630755027697255,0.03630755027697255,0.000648615362111471,0.007755677965428198
58,75738,174632.80033299007,181338.48847768392,-0.04266669788591241,3.697884658125995,0.03697884658125995,0.0006494424908461971,0.007765532878131309
59,72612,172392.73785627718,179157.3456203821,-0.043584511694370665,3.775791464581371,0.03775791464581371,0.0006521467851637874,0.0077977528522951145
60,68953,169751.41469276173,176597.21064916687,-0.04468814563000522,3.876502879768128,0.03876502879768128,0.0006587228288682523,0.007876098295457656
61,66375,168264.39694538608,175203.87273176605,-0.04566490923177744,3.9608004538827672,0.03960800453882767,0.0006623010614104086,0.00791872613682676
62,64171,167182.28785152172,174184.50902434502,-0.04648215282289563,4.020002244771743,0.04020002244771743,0.0006615612805792592,0.0079099131916337
63,61838,165965.8127494421,173027.30857478545,-0.047180968425878635,4.081145273256825,0.040811452732568254,0.0006611720471448868,0.007905276258511229
64,59558,164503.60543554183,171619.91826120665,-0.04791578591524958,4.1465541399651205,0.0414655413996512,0.0006614962178835837,0.007909138101922175
65,57164,162832.70918672593,170024.03204410983,-0.04888245376876234,4.229591999981647,0.04229591999981647,0.0006646473664304597,0.007946676991286705
66,54827,161353.5597324311,168579.3525448901,-0.049612087345922304,4.286285777811893,0.04286285777811893,0.0006635463237224526,0.007933560677207296
67,52873,160217.82885253342,167508.47880178428,-0.050424320699181145,4.3524065178085785,0.04352406517808578,0.0006639533665440123,0.0079384096461389
68,51134,159093.88439648764,166437.83507073944,-0.0511952535881977,4.412428623053449,0.04412428623053449,0.0006634177954434328,0.007932029557050413
