variable,gain
f20,9730.1748046875
f19,3286.09716796875
f18,1413.1693115234375
f0,818.0592041015625
f7,785.0388793945312
f16,693.490966796875
f17,637.2008056640625
f14,608.4447631835938
f4,595.141845703125
f3,588.1565551757812
f24,505.3017578125
f13,465.1185607910156
f22,388.2424621582031
f21,327.12353515625
f15,316.673583984375
f8,302.39923095703125
f5,275.2784118652344
f11,266.0591735839844
f6,246.8641815185547
f2,242.82496643066406
f10,236.69003295898438
f12,231.02139282226562
f9,223.67279052734375
f1,220.52420043945312
f23,108.06985473632812
