variable,shap_importancia_media
credit_score,0.5415946
estimated_loan_to_value_eltv,0.38387606
loan_age,0.29908884
max_dpd_12m,0.29493067
original_dti,0.26292464
number_of_borrowers,0.23155019
amortizacion_upb,0.18722779
original_interest_rate,0.17677408
current_interest_rate,0.15931825
current_actual_upb,0.13476467
channel,0.10025628
original_upb,0.09842161
max_dpd_6m,0.09624198
dpd_numerico,0.09073807
loan_purpose,0.07268385
original_ltv,0.07159918
original_cltv,0.061182402
max_dpd_3m,0.059628345
property_type,0.032477338
original_loan_term,0.018982843
occupancy_status,0.017538497
number_of_units,0.014591784
fue_modificado,0.0069568236
tiene_deferral,0.0034445655
spread_tasa,0.00021821877
