anio_liquidacion,n,lgd_media,lgd_descontada,ead_total,perdida_total,lgd_ponderada
2016,1,0.0059557333333333335,0.005935705239219101,525000.0,3126.76,0.006
2017,4,0.19180383366650658,0.1887261084385289,572369.09,106341.76000000001,0.1858
2018,11,0.15712351108383088,0.1512674753879237,1921228.1500000001,245716.36000000002,0.1279
2019,37,0.18220958989301844,0.1729357643166892,6468430.49,926070.42,0.1432
2020,42,0.18771098817955273,0.17765174742734682,5904799.52,827426.02,0.1401
2021,16,0.2631262691389719,0.23809526922899152,2766493.2600000002,502083.25,0.1815
2022,42,0.1968398507260624,0.17945720651002758,6690570.49,998374.78,0.1492
2023,37,0.15402849889022266,0.13879937533375103,5118438.73,623205.47,0.1218
2024,57,0.18353242474412637,0.1605812589034071,10286702.78,1388554.83,0.135
2025,22,0.9545454545454546,0.8543661977299933,3318797.1,3019239.43,0.9097
