vintage_year,horizon_months,obs_default_rate,pred_lifetime_pd,ratio_pred_obs,abs_error,n_loans
2016,12,0.003125,0.08875,28.398,0.085625,47677
2016,24,0.007389,0.17812,24.107,0.170731,44121
2016,36,0.009026,0.256307,28.398,0.247281,39997
2016,48,0.034652,0.313684,9.052,0.279032,33216
2016,60,0.063019,0.349928,5.553,0.286909,22993
2017,12,0.006037,0.08875,14.701,0.082713,47540
2017,24,0.009563,0.17812,18.626,0.168557,43501
2017,36,0.043399,0.256307,5.906,0.212908,33803
2017,48,0.082813,0.313684,3.788,0.230871,21784
2017,60,0.079863,0.349928,4.382,0.270065,16403
2018,12,0.004004,0.08875,22.166,0.084746,45206
2018,24,0.039863,0.17812,4.468,0.138257,31859
2018,36,0.095724,0.256307,2.678,0.160583,19013
2018,48,0.097307,0.313684,3.224,0.216377,13370
2018,60,0.091743,0.349928,3.814,0.258185,11881
2019,12,0.028155,0.08875,3.152,0.060595,41343
2019,24,0.073434,0.17812,2.426,0.104686,25111
2019,36,0.077797,0.256307,3.295,0.17851,18651
2019,48,0.072358,0.313684,4.335,0.241326,16902
2019,60,0.071747,0.349928,4.877,0.278181,15708
2020,12,0.012737,0.08875,6.968,0.076013,43573
2020,24,0.015777,0.17812,11.29,0.162343,36890
2020,36,0.016134,0.256307,15.886,0.240173,34771
2020,48,0.015873,0.313684,19.763,0.297811,33139
2020,60,0.051922,0.349928,6.74,0.298006,2966
2022,12,0.007464,0.08875,11.89,0.081286,48096
2022,24,0.015347,0.17812,11.606,0.162773,45286
2022,36,0.019752,0.256307,12.976,0.236555,7189
2023,12,0.006172,0.08875,14.379,0.082578,46662
2023,24,0.014683,0.17812,12.131,0.163437,6334
2024,12,0.007745,0.08875,11.459,0.081005,6972
