segmentacion,segmento,n_train,n_test,defaults_test,tasa_def_train,tasa_def_test,AUC_val,AUC_test,Gini_test,KS_test,PD_predicha,ratio_obs_pred,PSI,PSI_estado,reportable
banda_fico,660-699,1379072,42449,319,0.027292,0.007515,0.7847,0.7888,0.5776,0.4711,0.018172,0.414,1.0441,INESTABLE,True
banda_fico,700-739,2501924,80915,283,0.017993,0.003497,0.817,0.7622,0.5244,0.39,0.010875,0.322,0.8132,INESTABLE,True
banda_fico,740-779,3477370,130924,238,0.009594,0.001818,0.8135,0.8046,0.6093,0.4522,0.004652,0.391,0.6882,INESTABLE,True
banda_fico,780+,3715205,140311,95,0.004302,0.000677,0.7927,0.7806,0.5612,0.428,0.001925,0.352,0.6968,INESTABLE,True
banda_fico,<660,502439,17316,304,0.0418,0.017556,0.7893,0.7398,0.4796,0.4025,0.021702,0.809,1.4583,INESTABLE,True
banda_fico,sin_dato,1866,150,0,0.015005,0.0,,,,,0.011615,0.0,5.165,INESTABLE,False
banda_ltv,60-75,2403282,63453,160,0.011018,0.002522,0.8766,0.8998,0.7996,0.6479,0.005839,0.432,0.4582,INESTABLE,True
banda_ltv,75-80,1349314,37831,74,0.012839,0.001956,0.8704,0.8393,0.6785,0.5333,0.00635,0.308,0.4348,INESTABLE,True
banda_ltv,80-90,2987103,102464,238,0.013075,0.002323,0.8578,0.8413,0.6826,0.5317,0.006628,0.35,0.4195,INESTABLE,True
banda_ltv,<=60,2311707,78502,132,0.007635,0.001681,0.8926,0.9216,0.8432,0.7013,0.00336,0.5,0.2585,INESTABLE,True
banda_ltv,>90,2526443,129815,635,0.020788,0.004892,0.8412,0.7976,0.5951,0.4233,0.010433,0.469,0.3576,INESTABLE,True
banda_ltv,sin_dato,27,0,0,0.0,,,,,,,,,sin_dato,False
banda_dti,30-36,2118177,66335,189,0.010755,0.002849,0.8739,0.8791,0.7581,0.6431,0.004357,0.654,0.2334,monitorear,True
banda_dti,36-43,2929345,105114,310,0.015593,0.002949,0.8585,0.8445,0.6891,0.5426,0.007225,0.408,0.286,INESTABLE,True
banda_dti,<=30,3423137,80483,56,0.006124,0.000696,0.9026,0.8689,0.7379,0.599,0.003045,0.228,0.2364,monitorear,True
banda_dti,>43,2772573,160133,684,0.020724,0.004271,0.8301,0.8187,0.6373,0.4576,0.010081,0.424,0.429,INESTABLE,True
banda_dti,sin_dato,334644,0,0,0.018366,,,,,,,,,sin_dato,False
proposito,C (refi cash-out),2475946,51241,207,0.013994,0.00404,0.8449,0.7974,0.5947,0.4446,0.007059,0.572,0.4052,INESTABLE,True
proposito,N (refi no cash-out),3366366,28067,132,0.00943,0.004703,0.8821,0.9333,0.8667,0.7254,0.00655,0.718,0.3988,INESTABLE,True
proposito,P (compra),5735564,332757,900,0.015105,0.002705,0.8694,0.8552,0.7104,0.5483,0.0071,0.381,0.2061,monitorear,True
ocupacion,I (inversión),949326,26978,23,0.012095,0.000853,0.8851,0.8983,0.7967,0.6682,0.005347,0.159,0.3063,INESTABLE,False
ocupacion,P (primaria),10182192,377420,1205,0.013568,0.003193,0.8599,0.8513,0.7026,0.5376,0.007249,0.44,0.3314,INESTABLE,True
ocupacion,S (segunda vivienda),446358,7667,11,0.007617,0.001435,0.9087,0.7989,0.5977,0.4974,0.003626,0.396,0.2178,monitorear,False
canal,B (broker),1154728,66292,299,0.014495,0.00451,0.8595,0.8332,0.6665,0.5004,0.008053,0.56,0.3349,INESTABLE,True
canal,C (correspondent),3527690,145180,441,0.015438,0.003038,0.8704,0.8288,0.6576,0.4942,0.007434,0.409,0.2668,INESTABLE,True
canal,R (retail),6895458,200593,499,0.011868,0.002488,0.8615,0.8848,0.7695,0.6112,0.006455,0.385,0.358,INESTABLE,True
tipo_prop,CO (condominio),944742,38971,91,0.013126,0.002335,0.8281,0.8327,0.6654,0.4935,0.00597,0.391,0.2735,INESTABLE,True
tipo_prop,CP (cooperativa),21791,761,7,0.011977,0.009198,0.9669,0.9958,0.9917,0.9668,0.005074,1.813,0.1274,monitorear,False
tipo_prop,MH (manufacturada),52330,5163,17,0.012937,0.003293,0.8389,0.7645,0.5291,0.6668,0.005885,0.56,0.3931,INESTABLE,False
tipo_prop,PU (PUD),2992962,126968,325,0.01331,0.00256,0.874,0.8818,0.7636,0.5679,0.006548,0.391,0.2744,INESTABLE,True
tipo_prop,SF (unifamiliar),7566051,240202,799,0.013198,0.003326,0.8645,0.8452,0.6904,0.5358,0.007534,0.442,0.3931,INESTABLE,True
