k_relativo,delta_absoluto,pct_cartera_stage2,tasa_default_stage2,tasa_default_stage1,cobertura_defaults,pct_solo_por_backstop,rel_share,lift_stage2_vs_stage1
1.5,0.01,0.1648,0.035549,0.007583,0.4806,0.0,0.0481,4.69
2.0,0.01,0.1576,0.037098,0.007535,0.4794,0.0,0.0041,4.92
2.5,0.01,0.1575,0.037119,0.007535,0.4794,0.0,0.0035,4.93
3.0,0.01,0.1569,0.037249,0.00753,0.4794,0.0,0.0001,4.95
4.0,0.01,0.1569,0.03725,0.00753,0.4794,0.0,0.0,4.95
5.0,0.01,0.1569,0.03725,0.00753,0.4794,0.0,0.0,4.95
1.5,0.02,0.1426,0.040093,0.007551,0.469,0.0,0.2314,5.31
2.0,0.02,0.1153,0.049091,0.007382,0.4644,0.0,0.0495,6.65
2.5,0.02,0.1132,0.050011,0.007368,0.4641,0.0,0.0311,6.79
3.0,0.02,0.1101,0.051387,0.007346,0.4638,0.0,0.0038,6.99
4.0,0.02,0.1097,0.051533,0.007344,0.4638,0.0,0.001,7.02
5.0,0.02,0.1097,0.051574,0.007343,0.4638,0.0,0.0002,7.02
1.5,0.03,0.1361,0.041555,0.007568,0.4638,0.0,0.3416,5.49
2.0,0.03,0.1051,0.053175,0.007382,0.4582,0.0,0.1472,7.2
2.5,0.03,0.0967,0.057593,0.007331,0.4569,0.0,0.0738,7.86
3.0,0.03,0.0906,0.061373,0.007292,0.4561,0.0,0.0113,8.42
4.0,0.03,0.0899,0.061874,0.007288,0.456,0.0,0.0029,8.49
5.0,0.03,0.0897,0.061978,0.007287,0.456,0.0,0.0012,8.51
1.5,0.05,0.1283,0.043183,0.007631,0.4544,0.0006,0.4272,5.66
2.0,0.05,0.0937,0.058186,0.007436,0.4473,0.0009,0.2158,7.82
2.5,0.05,0.0846,0.064192,0.007386,0.4455,0.001,0.1313,8.69
3.0,0.05,0.0757,0.071527,0.007332,0.4442,0.0011,0.0293,9.76
4.0,0.05,0.0743,0.072871,0.007324,0.4439,0.0011,0.0105,9.95
5.0,0.05,0.0737,0.07341,0.007322,0.4438,0.0011,0.0028,10.03
1.5,0.08,0.118,0.045606,0.007725,0.4412,0.0007,0.5578,5.9
2.0,0.08,0.0778,0.06741,0.007538,0.4299,0.0011,0.3293,8.94
2.5,0.08,0.066,0.078862,0.007481,0.427,0.0013,0.21,10.54
3.0,0.08,0.057,0.091075,0.007427,0.4256,0.0015,0.0847,12.26
4.0,0.08,0.0543,0.095402,0.007411,0.4252,0.0016,0.0403,12.87
5.0,0.08,0.0527,0.098251,0.007404,0.4248,0.0017,0.0106,13.27
