decil,n,defaults,pd_predicha,pd_observada,diferencia,modelo
1,46796,6,0.0019325534955828556,0.0001282160868450295,0.0018043374087378262,logistica
2,46638,21,0.003542950071545942,0.0004502765984819246,0.0030926734730640174,logistica
3,32078,5,0.0041899357972828314,0.00015587006671238855,0.0040340657305704426,logistica
4,41094,36,0.00486589972988827,0.0008760402978537013,0.003989859432034569,logistica
5,43159,19,0.005421048586787792,0.0004402326281887903,0.004980815958599002,logistica
6,40569,68,0.007523762014720526,0.0016761566713500457,0.00584760534337048,logistica
7,59352,141,0.009657164705830484,0.0023756570966437527,0.007281507609186731,logistica
8,31938,100,0.011744855302342748,0.003131066441229883,0.008613788861112866,logistica
9,30572,114,0.015229244077586671,0.003728902263509093,0.011500341814077577,logistica
10,39869,729,0.05486156755840368,0.01828488299179814,0.03657668456660554,logistica
1,48077,12,0.000943556078709662,0.000249599600640639,0.000693956478069023,xgboost
2,67186,56,0.0018578172894194722,0.0008335069806209627,0.0010243103087985094,xgboost
3,8706,10,0.0023145133163779974,0.0011486331265793705,0.001165880189798627,xgboost
4,54027,71,0.0027187017258256674,0.0013141577359468415,0.001404543989878826,xgboost
5,30276,51,0.0034936321899294853,0.001684502576298058,0.0018091296136314274,xgboost
6,49977,117,0.003926415927708149,0.002341076895371871,0.001585339032336278,xgboost
7,49245,140,0.005361446179449558,0.0028429282160625444,0.002518517963387014,xgboost
8,24431,75,0.006834052503108978,0.003069870246817568,0.0037641822562914104,xgboost
9,42716,147,0.008902608416974545,0.003441333458188969,0.005461274958785576,xgboost
10,37424,560,0.03504158556461334,0.014963659683625482,0.020077925880987862,xgboost
1,110985,37,0.001866663815242898,0.00033337838446636934,0.0015332854307765287,random_forest
2,14259,8,0.0020447242867806955,0.0005610491619328144,0.001483675124847881,random_forest
3,52388,52,0.0023113573555755703,0.0009925937237535314,0.0013187636318220388,random_forest
4,61996,74,0.003192377177604829,0.0011936253951867863,0.0019987517824180427,random_forest
5,18418,33,0.003975559124201951,0.0017917254859376697,0.0021838336382642813,random_forest
6,45090,130,0.00592377401341833,0.0028831226436016855,0.003040651369816645,random_forest
7,26711,83,0.00750434219413849,0.0031073340571300214,0.004397008137008468,random_forest
8,71455,328,0.011162634647024832,0.004590301588412287,0.006572333058612545,random_forest
9,10763,494,0.08887591963810247,0.04589798383350367,0.0429779358045988,random_forest
