id_loan,loan_identifier
F99Q10000325,2003SCRT00173
F99Q10001172,1902SCRT00010
F99Q10002380,2101SCRT00052
F99Q10011161,2501SCRT00506
F99Q10023078,2101SCRT00173
F99Q10024124,2003SCRT00170
F99Q10028993,2003SCRT00171
F99Q10029750,1902SLST00079
F99Q10029862,1704SCRT00082
F99Q10030758,2101SLST00104
F99Q10031515,1903SLST00116
F99Q10033475,1902SLST00080
F99Q10034125,2102SCRT00121
F99Q10035395,1804SCRT00090
F99Q10038639,2201SCRT00133
F99Q10038885,2002SCRT00109
F99Q10039326,1904SCRT00171
F99Q10039438,2002SLST00129
F99Q10041243,1803SCRT00108
F99Q10041609,1904SCRT00172
F99Q10041665,2102SCRT00123
F99Q10044320,1902SLST00082
F99Q10044729,1803SCRT00109
F99Q10047195,2102SCRT00126
F99Q10047266,2201SLST00045
F99Q10047270,1704SCRT00083
F99Q10048931,1904SCRT00173
F99Q10048949,1803SCRT00110
F99Q10050098,2102SCRT00127
F99Q10051078,2102SCRT00128
F99Q10052068,1904SCRT00175
F99Q10052093,2002SLST00132
F99Q10053820,2102SCRT00129
F99Q10054871,2103SCRT00076
F99Q10055037,1801SCRT00257
F99Q10055386,2002SLST00133
F99Q10055425,2102SLST00073
F99Q10055559,2102SCRT00130
F99Q10057516,2402SLST00210
F99Q10059967,1801SCRT00258
F99Q10062716,2101SLST00107
F99Q10062928,1801SCRT00260
F99Q10062954,2201SCRT00135
F99Q10062990,2001SLST00066
F99Q10067878,2101SCRT00178
F99Q10068921,1801SCRT00263
F99Q10072417,1802SLST01807
F99Q10072747,2101SCRT00180
F99Q10072946,1901SLST00082
F99Q10073423,2101SCRT00181
F99Q10073482,1801SCRT00264
F99Q10073570,2101SCRT00182
F99Q10074004,1801SCRT00265
F99Q10074047,2101SCRT00183
F99Q10074128,1801SCRT00266
F99Q10074337,1802SLST00007
F99Q10074386,2101SCRT00184
F99Q10074708,2101SLST00109
F99Q10076582,2001SCRT00112
F99Q10077195,1903SCRT00166
F99Q10077213,1801SCRT00267
F99Q10077470,1801SCRT00268
F99Q10077520,1903SLST00119
F99Q10078402,1903SCRT00167
F99Q10078449,2301SLST00104
F99Q10078943,2001SCRT00113
F99Q10079287,1801SCRT00269
F99Q10080395,2101SLST00110
F99Q10080833,1802SLST01269
F99Q10081350,1802SCRT00192
F99Q10082312,1903SCRT00168
F99Q10083861,2101SCRT00185
F99Q10087132,1904SCRT00177
F99Q10087814,1904SCRT00178
F99Q10089692,1802SCRT00198
F99Q10089852,2401SLST00162
F99Q10090213,1801SCRT00278
F99Q10090525,2001SCRT00117
F99Q10090833,1903SLST00126
F99Q10091688,2001SCRT00118
F99Q10091704,1801SCRT00279
F99Q10106093,1804SCRT00095
F99Q10108081,1904SCRT00179
F99Q10109560,2002SLST00136
F99Q10111599,2401SCRT00412
